IncNumber,Assignee,Create time,description,closed at
1,x,2024/12/24 18:20,type A,2024/12/24 18:30
2,x,2024/12/25 18:20,type A °¢,2024/12/25 18:30
3,y,2024/12/26 18:20,type A ´ï,2024/12/26 18:30
4,y,2024/12/27 18:20,type B,2024/12/27 18:30
5,z,2024/12/28 18:20,type B,2024/12/28 18:30
6,z,2024/12/29 18:20,type C 33,2024/12/29 18:30
6,x,2024/12/30 18:20,type C ´ï,2024/12/30 18:30
7,x,2024/12/31 18:20,type C 12,2024/12/31 18:30
9,y,2025/1/1 18:20,type C 1,2025/1/1 18:30
10,z,2025/1/2 18:20,type C 5,2025/1/2 18:30